DBKEY,Dbkey,Station,Group,Site,Data Type,Freq,Stat,Recorder,Agency,Start Date,End Date,Strata,OpNum,County,Latitude,Longitude,X Coord,Y Coord,Basin,Struct,Sec,Twp,Rng
TA422,TA422,G94A_C,G94A_C,G94A,FLOW,DA,MEAN,PREF,WMD,6/4/2002,4/30/2019,0,,PAL,262606.072,801347.781,908160.953,764561.227,CA1,CULV,26,46,41
VB272,VB272,G94A_C,G94A_C,G94A,FLOW,DA,MEAN,CR10,WMD,9/4/2007,7/3/2019,0,,PAL,262606.072,801347.781,908160.953,764561.227,CA1,CULV,26,46,41
91281,91281,G94A_C,G94A_C,G94A,FLOW,DA,MEAN,NA,WMD,4/15/2000,7/3/2019,0,,PAL,262606.072,801347.781,908160.953,764561.227,CA1,CULV,26,46,41
NI750,NI750,G94B_C,G94B_C,G94B,FLOW,DA,MEAN,NA,WMD,4/15/2000,7/18/2007,0,,PAL,262854.389,801317.77,910786.13,781572.955,CA1,CULV,11,46,41
91282,91282,G94B_C,G94B_C,G94B,FLOW,DA,MEAN,NA,WMD,4/14/2000,12/23/2014,0,,PAL,262854.389,801317.77,910786.13,781572.955,CA1,CULV,11,46,41
V7591,V7591,G94B_C,G94B_C,G94B,FLOW,DA,MEAN,CR10,WMD,7/27/2007,12/23/2014,0,,PAL,262854.389,801317.77,910786.13,781572.955,CA1,CULV,11,46,41
TA423,TA423,G94B_C,G94B_C,G94B,FLOW,DA,MEAN,PREF,WMD,6/3/2002,12/23/2014,0,,PAL,262854.389,801317.77,910786.13,781572.955,CA1,CULV,11,46,41
MW385,MW385,G94C_C,G94C_C,G94C,FLOW,DA,MEAN,NA,WMD,4/15/2000,9/30/2002,0,,PAL,263228.947,801357.959,907004.779,803215.511,CA1,CULV,23,45,41
TA424,TA424,G94C_C,G94C_C,G94C,FLOW,DA,MEAN,PREF,WMD,6/4/2002,12/21/2018,0,,PAL,263228.947,801357.959,907004.779,803215.511,CA1,CULV,23,45,41
91283,91283,G94C_C,G94C_C,G94C,FLOW,DA,MEAN,NA,WMD,4/14/2000,12/22/2018,0,,PAL,263228.947,801357.959,907004.779,803215.511,CA1,CULV,23,45,41
OR446,OR446,G94C_C,G94C_C,G94C,FLOW,DA,MEAN,NA,WMD,6/3/2002,12/22/2018,0,,PAL,263228.947,801357.959,907004.779,803215.511,CA1,CULV,23,45,41
91346,91346,S10A_C,S10A,S10A,FLOW,DA,MEAN,NA,WMD,1/12/1993,9/29/1993,0,,PAL,262135.277,801844.171,881362.619,737064.903,CA1,SPIL,26,47,40
03784,03784,S10A_C,S10A,S10A,FLOW,DA,MEAN,NA,WMD,1/12/1993,3/26/2000,0,,PAL,262135.277,801844.171,881362.619,737064.903,CA1,SPIL,26,47,40
TA419,TA419,S10A_C,S10A_C,S10A,FLOW,DA,MEAN,PREF,WMD,5/1/1973,4/30/2019,0,,PAL,262135.277,801844.171,881362.619,737064.903,CA1,SPIL,26,47,40
15261,15261,S10A_C,S10A,S10A,FLOW,DA,MEAN,NA,COE,5/1/1973,7/4/2019,0,,PAL,262135.277,801844.171,881362.619,737064.903,CA1,SPIL,26,47,40
03796,03796,S10C_C,S10C,S10C,FLOW,DA,MEAN,NA,WMD,6/30/1996,3/26/2000,0,,PAL,262218.278,802108.176,868241.97,741338.83,CA1,SPIL,21,47,40
US193,US193,S10C_C,S10C_C,S10C,FLOW,DA,MEAN,NA,WMD,9/18/1997,10/31/2009,0,,PAL,262218.278,802108.176,868241.97,741338.83,CA1,SPIL,21,47,40
91347,91347,S10C_C,S10C,S10C,FLOW,DA,MEAN,NA,WMD,9/18/1997,6/14/2010,0,,PAL,262218.278,802108.176,868241.97,741338.83,CA1,SPIL,21,47,40
TA420,TA420,S10C_C,S10C_C,S10C,FLOW,DA,MEAN,PREF,WMD,5/1/1973,4/30/2019,0,,PAL,262218.278,802108.176,868241.97,741338.83,CA1,SPIL,21,47,40
15262,15262,S10C_C,S10C,S10C,FLOW,DA,MEAN,NA,COE,5/1/1973,7/4/2019,0,,PAL,262218.278,802108.176,868241.97,741338.83,CA1,SPIL,21,47,40
03790,03790,S10D_C,S10D,S10D,FLOW,DA,MEAN,NA,WMD,4/30/1995,3/26/2000,0,,PAL,262319.274,802254.176,858605.563,747468.188,CA1,SPIL,7,47,40
TA421,TA421,S10D_C,S10D_C,S10D,FLOW,DA,MEAN,PREF,WMD,5/1/1973,4/30/2019,0,,PAL,262319.274,802254.176,858605.563,747468.188,CA1,SPIL,7,47,40
15263,15263,S10D_C,S10D,S10D,FLOW,DA,MEAN,NA,COE,5/1/1973,7/4/2019,0,,PAL,262319.274,802254.176,858605.563,747468.188,CA1,SPIL,7,47,40
91348,91348,S10D_C,S10D,S10D,FLOW,DA,MEAN,NA,WMD,,,0,,PAL,262319.274,802254.176,858605.563,747468.188,CA1,SPIL,7,47,40
91517,91517,S362_P,S362_P,S362,FLOW,DA,MEAN,NA,WMD,9/26/2004,7/3/2019,0,,PAL,263732.23,801904.121,879036.471,833681.591,STA-1E,PUMP,15,44,41
91598,91598,S39_S,S39,S39,FLOW,DA,MEAN,NA,WMD,1/2/1979,7/3/2019,0,,PAL,262120.645,801751.569,886157.117,735614.814,CA1,SPIL,19,47,41
06733,06733,S39_S,S39,S39,FLOW,DA,MEAN,TELE,WMD,5/31/1985,7/3/2019,0,,PAL,262120.645,801751.569,886157.117,735614.814,CA1,SPIL,19,47,41
91663,91663,S6_P,S6,S6,FLOW,DA,MEAN,NA,WMD,1/2/1984,1/28/2020,0,,PAL,262818.73,802644.939,837458.431,777592.147,S-2_6_7,PUMP,4,46,39
91349,91349,S10E_C,S10E,S10E,FLOW,DA,MEAN,DRV,WMD,2/19/1985,8/15/2005,0,,PAL,262755.495,802629.571,838865.183,775252.155,CA1,CULV,3,46,39
